model,context,nfrs,strategy,total_clones,entries_covered,avg_codebleu,efficiency_score
deepseek-r1,minimal,nfr0,few-shot,1,1,0.285,3.511
gpt-oss:20b,minimal,nfr5,zero-shot,1,1,0.285,3.508
deepseek-r1,translation,nfr5,cot,1,1,0.286,3.496
gemma3:latest,translation,nfr1,few-shot,1,1,0.287,3.482
deepseek-r1,translation,nfr3,zero-shot,1,1,0.288,3.471
llama3.1:latest,requirements,nfr0,few-shot,1,1,0.289,3.464
gemma3:latest,translation,nfr2,cot,1,1,0.289,3.462
gemma3:latest,minimal,nfr3,cot,1,1,0.29,3.451
gpt-oss:latest,ast,nfr5,few-shot,1,1,0.29,3.444
gpt-oss:20b,ast,nfr3,few-shot,1,1,0.291,3.441
gpt-oss:20b,complete,nfr2,zero-shot,1,1,0.291,3.434
deepseek-r1,ast,nfr5,few-shot,1,1,0.292,3.422
gpt-oss:20b,translation,nfr2,cot,1,1,0.294,3.396
gemma3:latest,minimal,nfr0,cot,1,1,0.295,3.387
gpt-oss:20b,complete,nfr4,few-shot,1,1,0.295,3.385
gpt-oss:20b,minimal,nfr5,cot,1,1,0.299,3.345
deepseek-r1,minimal,nfr2,few-shot,1,1,0.299,3.345
gpt-oss:latest,minimal,nfr4,cot,1,1,0.3,3.336
gemma3:latest,requirements,nfr0,zero-shot,1,1,0.3,3.328
llama3.1:latest,minimal,nfr0,cot,1,1,0.301,3.32
gpt-oss:latest,requirements,nfr3,cot,1,1,0.305,3.282
gpt-oss:20b,translation,nfr4,few-shot,1,1,0.305,3.276
gpt-oss:latest,requirements,nfr4,zero-shot,1,1,0.307,3.255
gemma3:latest,minimal,nfr2,few-shot,1,1,0.308,3.242
gpt-oss:20b,translation,nfr5,zero-shot,1,1,0.309,3.241
deepseek-r1,uml,nfr5,few-shot,1,1,0.31,3.222
deepseek-r1,complete,nfr5,cot,1,1,0.314,3.18
gpt-oss:20b,ast,nfr1,cot,1,1,0.33,3.034
llama3.1:latest,translation,nfr4,few-shot,1,1,0.335,2.986
